UID	Country	City	Place name	Official place	Place number	Free bikes	Total bikes	Place type	Comment	Setpoint bikes	Bike racks	Show in customer map	Battery voltage	Solar voltage	Location marking	Online	Time stamp	Creation date
"42417389"	"OVO Bikes Glasgow"	"Glasgow"	"Cathcart Railway Station"	"1"	"8206"	"6"	"10"	"E-bike station"	""	"12"	"4"	"1"	""	""	"smart_sign"	"0"	2023-11-26 10:33	
"320334589"	"OVO Bikes Glasgow"	"Glasgow"	"BIKE 46840"	"0"	""	"1"	"1"	"Individual bike"	""	"0"	"0"	"1"	""	""	""	"0"	2023-11-26 10:31	
"266170"	"OVO Bikes Glasgow"	"Glasgow"	"University of Strathclyde (South) - ELECTRIC"	"1"	"8433"	"2"	"3"	"E-bike station"	"54333,54516,54417,54448   18.08.23 18:08:42:  18.08.23 18:08:42: Rack Problem 08.10.23 20:10:32:  08.10.23 20:10:32: Vandalism 13.10.23 19:25:44:  13.10.23 19:25:44: Rack Problem 24.10.23 7:23:37:  24.10.23 7:23:37: Terminal Offline"	"12"	"6"	"1"	"13,88"	"0,00"	"smart_sign"	"1"	2023-11-26 10:30	
"264302"	"OVO Bikes Glasgow"	"Glasgow"	"Botanic Gardens - ELECTRIC"	"1"	"8417"	"3"	"8"	"E-bike station"	"54469,54403,54564,54538   24.11.23 6:32:10:  24.11.23 6:32:10: Rack Problem 24.11.23 6:32:18:  24.11.23 6:32:18: Terminal Offline"	"8"	"8"	"1"	"13,69"	"0,00"	"smart_sign"	"1"	2023-11-26 10:29	
"105742172"	"OVO Bikes Glasgow"	"Glasgow"	"Kelvin Hall Subway Station"	"1"	"8314"	"4"	"7"	"Standard place"	" 06.08.23 1:07:11:  06.08.23 1:07:11: Terminal Offline 05.09.23 0:02:10:  05.09.23 0:02:10: Terminal Offline"	"6"	"6"	"1"	""	""	"smart_sign"	"0"	2023-11-26 10:28	
"19548484"	"OVO Bikes Glasgow"	"Glasgow"	"Cambridge Street - ELECTRIC"	"1"	"8434"	"1"	"3"	"E-bike station"	"54462,54350,54452,54441,54423,54402,54465,54468  "	"12"	"8"	"1"	"13,63"	"0,00"	"smart_sign"	"1"	2023-11-26 10:28	
"264295"	"OVO Bikes Glasgow"	"Glasgow"	"St Enoch Square - ELECTRIC"	"1"	"8410"	"4"	"7"	"E-bike station"	"54474,54532,54490,54485  "	"12"	"10"	"1"	"13,71"	"0,00"	"smart_sign"	"1"	2023-11-26 10:27	
"264306"	"OVO Bikes Glasgow"	"Glasgow"	"University of Glasgow (West)"	"1"	"8422"	"6"	"9"	"Standard place"	"0 14.08.23 2:33:44:  14.08.23 2:33:44: Rack Problem 17.08.23 8:58:27:  17.08.23 8:58:27: Rack Problem 06.10.23 18:04:21:  06.10.23 18:04:21: Rack Problem 06.10.23 18:13:20:  06.10.23 18:13:20: Terminal Offline 14.10.23 21:20:10:  14.10.23 21:20:10: Terminal Offline 16.10.23 18:31:10:  16.10.23 18:31:10: Terminal Offline 14.11.23 23:44:06:  14.11.23 23:44:06: Vandalism"	"12"	"10"	"1"	""	""	"smart_sign"	"0"	2023-11-26 10:25	
"751103"	"OVO Bikes Glasgow"	"Glasgow"	"University Hospital, Queen Eliza"	"1"	"8450"	"13"	"13"	"Standard place"	""	"6"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-26 10:24	
"66595311"	"OVO Bikes Glasgow"	"Glasgow"	"Yorkhill Street South"	"1"	"8310"	"6"	"6"	"Standard place"	""	"8"	"8"	"1"	""	""	"smart_sign"	"0"	2023-11-26 10:24	
